regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,9,0.016,0.001,0.044,-0.027,0.11,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,0.106,0.102,0.24,-0.39,0.569,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.025,-0.005,0.15,-0.376,0.459,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.321,0.301,0.193,0.019,0.591,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.317,0.356,0.22,-0.211,0.794,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.268,0.307,0.19,-0.232,0.583,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.521,0.51,0.154,0.225,0.792,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.584,0.565,0.155,0.225,0.792,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.539,0.546,0.077,0.238,0.62,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.188,0.185,0.205,-0.231,0.579,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.195,0.158,0.165,-0.223,0.586,46.2
