regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,9,-0.325,-0.355,0.07,-0.411,-0.216,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,0.003,0.007,0.186,-0.448,0.434,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.13,0.173,0.159,-0.396,0.386,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.139,0.151,0.219,-0.293,0.584,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.384,0.427,0.207,-0.253,0.671,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.122,0.125,0.158,-0.279,0.457,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.034,0.032,0.219,-0.429,0.453,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.193,0.193,0.13,-0.114,0.437,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.383,0.352,0.099,0.161,0.603,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.093,0.157,0.262,-0.452,0.52,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.15,0.188,0.21,-0.365,0.586,46.2
