regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,25,-0.077,-0.085,0.174,-0.348,0.196,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,0.865,0.902,0.11,0.32,0.987,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.861,0.897,0.124,0.148,0.99,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.926,0.932,0.062,0.804,0.993,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.798,0.854,0.162,0.256,0.993,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.757,0.796,0.181,-0.207,0.973,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.911,0.913,0.043,0.798,0.982,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.925,0.925,0.036,0.846,0.982,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.951,0.976,0.046,0.828,0.985,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.84,0.882,0.131,0.357,0.987,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.774,0.788,0.154,-0.17,0.982,46.2
