regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,9,0.243,0.268,0.048,0.189,0.303,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,0.006,0.017,0.2,-0.644,0.483,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.08,-0.073,0.185,-0.6,0.285,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,-0.002,-0.006,0.139,-0.423,0.201,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,-0.289,-0.349,0.31,-0.803,0.587,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,-0.186,-0.165,0.166,-0.614,0.176,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.212,-0.223,0.174,-0.652,0.129,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,-0.252,-0.244,0.092,-0.474,-0.026,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,-0.555,-0.494,0.131,-0.805,-0.394,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,-0.123,-0.136,0.232,-0.632,0.425,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,-0.237,-0.22,0.205,-0.6,0.147,46.2
