regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bull 2017,Initial crypto bull run,2017-01-01,2017-12-17,9,-0.34,-0.352,0.06,-0.4,-0.211,103.9
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,359,-0.071,-0.041,0.23,-0.685,0.498,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,0.169,0.175,0.172,-0.213,0.506,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.168,0.151,0.185,-0.157,0.55,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.357,0.386,0.201,-0.259,0.63,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.003,0.032,0.206,-0.475,0.604,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,-0.046,-0.056,0.187,-0.404,0.35,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.062,0.062,0.145,-0.248,0.35,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.333,0.287,0.14,0.001,0.598,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.079,0.105,0.243,-0.578,0.492,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.087,0.107,0.231,-0.357,0.495,46.2
