regime,description,start,end,n_obs,mean_corr,median_corr,std_corr,min_corr,max_corr,ann_vol_pct
Crypto Bear 2018,Post-ATH bear market,2018-01-01,2018-12-31,351,0.098,0.14,0.169,-0.249,0.383,68.1
Calm 2019,Low-volatility recovery,2019-01-01,2019-12-31,360,-0.004,-0.006,0.104,-0.215,0.183,56.7
COVID Crash,Global pandemic shock,2020-02-20,2020-03-23,33,0.2,0.098,0.273,-0.21,0.56,152.7
COVID Recovery,Central bank liquidity surge,2020-03-24,2020-12-31,278,0.376,0.38,0.114,0.143,0.586,47.0
Crypto Bull 2021,"All-time highs, institutional entry",2021-01-01,2021-11-10,307,0.274,0.32,0.118,-0.061,0.452,69.0
Rate Hike Cycle,"Fed tightening, risk-off",2022-01-01,2022-06-15,162,0.549,0.527,0.088,0.404,0.772,58.9
Terra/Luna Collapse,Algorithmic stablecoin failure,2022-05-01,2022-06-30,59,0.65,0.617,0.063,0.565,0.772,72.0
FTX Collapse,Centralised exchange failure,2022-11-01,2022-11-30,30,0.509,0.504,0.046,0.448,0.586,69.2
Crypto Recovery 2023,Gradual market normalisation,2023-01-01,2023-12-31,357,0.221,0.212,0.179,-0.076,0.683,36.6
BTC ETF / Halving 2024,Spot ETF approval + halving,2024-01-01,2024-06-30,177,0.18,0.134,0.142,-0.177,0.533,46.2
